ID,LAT,LON,NAME,LIBRARY_ID,LIBRARY_TYPE,MH_F,IH_F,TAS_F,SS_F,NL_F,NH_F,MH_F_size,Risk,Date_Assessed
WA00348,46.064178,-118.2638,MILL CREEK STORAGE DAM,373,dam_study,True,False,True,True,True,True,3.174847,Low (4),20161216
OH00001,40.62294028,-82.32451622,PLEASANT HILL DAM,1123,dam_study,True,False,True,True,True,True,3.334604,Moderate (3),20190329
WA00331,46.58424,-118.0269,LITTLE GOOSE LOCK AND DAM,131,dam_study,True,False,True,True,True,True,3.982913,Moderate (3),20140729
NE01061,40.78330141,-96.63634194,ANTELOPE CREEK DAM,177,dam_study,True,False,True,True,True,True,4.349052,Moderate (3),20180514
NE01060,40.82410752,-96.95673838,TWIN LAKES DAM,169,dam_study,True,False,True,True,True,True,4.551314,Low (4),20160115
NE01062,40.58540107,-96.84751314,OLIVE CREEK DAM,163,dam_study,True,False,True,True,True,True,4.778026,Low (4),20170525
NE01059,40.60476151,-96.63641463,STAGECOACH DAM,164,dam_study,True,False,True,True,True,True,4.791567,Very Low (5),20201217
NE01058,40.73087698,-96.78322726,YANKEE HILL DAM,170,dam_study,True,False,True,True,True,True,4.900653,Low (4),20140731
IL00006,40.68343027,-89.52521188,FONDULAC DAM,1114,dam_study,True,False,True,False,False,True,4.92956,Low (4),20170525
MS03058,34.01121923,-88.48839138,AMORY LOCK AND DAM,1445,dam_study,True,False,True,False,False,True,5.364607,Low (4),20170301
KY03065,38.12586403,-82.69733105,YATESVILLE DAM,1032,dam_study,True,False,True,True,True,True,5.533961,Low (4),20091231
NE01056,40.62038464,-96.58355938,WAGON TRAIN DAM,165,dam_study,True,False,True,True,True,True,5.549247,Low (4),20200722
NE01064,40.62833,-96.790001,BLUESTEM DAM,167,dam_study,True,False,True,True,True,True,5.596737,Low (4),20170519
OH00030,41.15653973,-81.07931201,MICHAEL J. KIRWAN DAM,960,dam_study,True,False,True,True,True,True,5.67467,Moderate (3),20180711
KY03066,37.83952368,-82.8719808,PAINTSVILLE DAM,1467,dam_study,True,False,True,True,True,True,5.69718,Low (4),20170301
VT00001,43.12767311,-72.7738704,BALL MOUNTAIN DAM,384,dam_study,True,False,True,True,True,True,5.748378,Low (4),20171027
