ID,LAT,LON,NAME,LIBRARY_ID,LIBRARY_TYPE,MH_F,IH_F,TAS_F,SS_F,NL_F,NH_F,MH_F_size
IN04071,41.6520135,-87.48495857,INDIANA HARBOR CANAL CONFINED DISPOSAL FACILITY,1145,dam_study,True,False,True,False,True,False,3.844906
WA00331,46.58424,-118.0269,LITTLE GOOSE LOCK AND DAM,131,dam_study,True,False,True,True,True,True,3.982913
NE01061,40.78330141,-96.63634194,ANTELOPE CREEK DAM,177,dam_study,True,False,True,True,True,True,4.349052
NE01060,40.82410752,-96.95673838,TWIN LAKES DAM,169,dam_study,True,False,True,True,True,True,4.551314
NE01062,40.58540107,-96.84751314,OLIVE CREEK DAM,163,dam_study,True,False,True,True,True,True,4.778026
NE01059,40.60476151,-96.63641463,STAGECOACH DAM,164,dam_study,True,False,True,True,True,True,4.791567
NE01058,40.73087698,-96.78322726,YANKEE HILL DAM,170,dam_study,True,False,True,True,True,True,4.900653
IL00006,40.68343027,-89.52521188,FONDULAC DAM,1114,dam_study,True,False,True,False,False,True,4.92956
MN00578,45.01667,-95.833328,CHIPPEWA DIVERSION DAM,4290,dam_study,True,False,False,False,False,False,5.281019
MS03058,34.01121923,-88.48839138,AMORY LOCK AND DAM,1445,dam_study,True,False,True,False,False,True,5.364607
PA00921S002,40.3856,-76.03,Blue Marsh Dam - Dikes A and B,1104,dam_study,True,False,False,False,False,False,5.478795
KY03065,38.12586403,-82.69733105,YATESVILLE DAM,1032,dam_study,True,False,True,True,True,True,5.533961
NE01056,40.62038464,-96.58355938,WAGON TRAIN DAM,165,dam_study,True,False,True,True,True,True,5.549247
NE01064,40.62833,-96.790001,BLUESTEM DAM,167,dam_study,True,False,True,True,True,True,5.596737
NV10001S001,37.478093,-114.310555,PINE CANYON DAM - SADDLE DIKE 1,5174,dam_study,True,True,True,False,False,False,5.600842
MA00962S001,42.42833,-72.02667,BARRE FALLS DAM - DIKE 1,1140,dam_study,True,False,False,False,False,False,5.674019
ND00145S002,47.600483,-101.26336,GARRISON DAM - SNAKE CREEK EMBANKMENT,1111,dam_study,True,False,True,True,False,False,5.674302
OH00030,41.15653973,-81.07931201,MICHAEL J. KIRWAN DAM,960,dam_study,True,False,True,True,True,True,5.67467
KY03066,37.83952368,-82.8719808,PAINTSVILLE DAM,1467,dam_study,True,False,True,True,True,True,5.69718
VT00001,43.12767311,-72.7738704,BALL MOUNTAIN DAM,384,dam_study,True,False,True,True,True,True,5.748378
MA00962S002,42.42833,-72.02667,BARRE FALLS DAM - DIKE 2,1141,dam_study,True,False,False,False,False,False,5.791195
NV10001,37.47708,-114.30712,PINE CANYON DAM,5174,dam_study,True,True,True,False,False,False,5.820603
NE01065,41.313,-96.137001,STANDING BEAR DAM,1124,dam_study,True,False,True,True,True,True,5.842456
MA00962S003,42.42833,-72.02667,BARRE FALLS DAM - DIKE 3,1142,dam_study,True,False,False,False,False,False,5.94537
WV09903,38.30404199,-82.41607111,BEECH FORK DAM,4293,dam_study,True,False,True,True,True,True,5.968604
NE01055,40.76686396,-96.84560443,CONESTOGA DAM,168,dam_study,True,False,True,True,True,True,5.984181
ID00319,48.17958153,-116.999649,ALBENI FALLS DAM,126,dam_study,True,False,True,True,True,True,5.990704
MA00967S002,42.11849902,-71.88041366,"HODGES VILLAGE DAM - DIKES 2, 3 and 4",5446,dam_study,True,True,True,False,False,False,6.024129
IL00005,40.671299,-89.500504,FARMDALE DAM,1113,dam_study,True,False,True,False,False,True,6.045403
MA00962,42.42803246,-72.02589183,BARRE FALLS DAM,1121,dam_study,True,False,True,True,False,True,6.212283
MA00967S001,42.12044378,-71.88060856,HODGES VILLAGE DAM - DIKE 1,5446,dam_study,True,True,True,True,False,False,6.53624
